age,experience_years,skill_score,interview_score,education_level,hired
60,18,5,8,1,1
50,6,2,2,3,0
36,18,2,10,2,1
64,5,6,9,1,1
29,5,9,7,2,1
42,2,1,6,5,0
60,6,6,1,4,1
40,18,9,1,5,1
44,7,8,2,4,0
32,9,6,6,5,1
32,19,3,6,3,0
45,14,8,2,2,0
57,14,9,1,4,1
61,28,1,10,1,0
45,0,9,5,2,1
24,19,6,5,1,0
43,29,6,2,2,0
23,6,4,6,2,0
45,26,1,9,5,0
65,3,10,2,4,0
51,28,8,10,4,1
59,5,2,2,2,0
23,24,1,3,3,0
42,0,2,7,3,0
54,28,1,6,1,0
33,4,1,8,1,0
43,26,9,8,5,0
65,22,1,6,2,0
46,0,4,10,1,0
48,29,10,3,1,1
63,3,6,3,2,1
49,21,7,1,5,0
37,1,2,7,1,0
36,9,6,5,5,0
65,4,7,4,4,0
24,26,10,10,5,1
58,9,10,4,3,0
28,0,2,4,3,0
42,21,2,6,5,1
30,5,10,8,3,1
60,12,7,8,4,1
39,30,1,5,2,0
25,14,8,6,3,1
46,3,3,4,3,1
35,12,6,9,5,0
30,23,9,8,4,0
47,19,6,10,2,0
23,23,9,10,5,1
41,14,7,1,5,0
49,28,9,2,4,0
28,7,2,9,2,0
65,4,8,8,4,0
29,28,8,3,2,1
56,14,2,8,4,1
35,3,4,1,5,1
38,11,7,10,5,1
57,12,4,4,1,0
61,1,4,3,3,0
25,26,6,6,4,1
23,30,10,7,1,1
27,18,6,4,3,0
63,18,10,7,4,0
25,3,3,9,2,1
50,3,9,2,3,0
39,25,10,3,5,1
47,10,2,5,1,1
65,26,6,3,3,0
55,4,7,8,3,1
31,19,9,10,5,1
57,10,3,8,4,1
35,29,10,8,2,1
52,9,3,9,5,0
36,7,7,4,2,0
29,5,4,5,4,0
35,5,8,5,3,0
44,7,7,8,2,1
61,22,5,7,1,1
42,14,7,9,1,0
37,25,3,8,5,0
39,13,2,2,4,0
45,10,6,10,5,0
47,11,2,4,5,1
46,25,3,6,5,1
